date,name,info,results
30/Jun/2022,20mm deadhang,-Both hands-5 second hold-rest 1 min between hangs-Add weight and work up to an RPE 10.You should come to your RPE 10 within about 6 hangs.-record weight for strength metrics,Could only manage 140 today. The gym was too hot and I immediately started slipping off the 20mm rung
30/Jun/2022,15mm Deadhangs,"-Both hands (no weight added)-start timer-hang as long as you can-rest as long as your hang was (1:1 hang to rest ratio)-again, hang as long as you can (this time you will probably pump out a bit faster)-again, rest as long as your hang was the 2nd time-hang as long as you can for a 3rd time. This time you will probably pump out pretty quick!-record first, second, and thrid hang times.","56, 42"
30/Jun/2022,Single Arm Deadhangs,20mm edgeHow long can you hang?Record hang time for each arm.,Rh: 8sLH: 5s
29/Jun/2022,Rest,,
28/Jun/2022,Max pull-ups (1-minute),"-bodyweight.-set a 1-minute timer-resting on the ground is okay, but time continues to run!-record results so I can add them to your strength metrics chart",33 but soooo pumped in the biceps
28/Jun/2022,Max dips (1-minute),-bodyweight.-on rings or a bar-set a 1-minute timer-resting on the ground is okay but time continues to run!-record results for strength metrics.,58
28/Jun/2022,Max toes to bar (1-minute),"-bodyweight.-while hanging, raise your toes all the way to the bar, then back down to a hanging position. Repeat as many times as possible -set a 1-minute timer-resting on the ground is okay but time continues to run!-record results for strength metrics",21
28/Jun/2022,Open Climb,"Your choice. Project, board climb, or new boulders.",
27/Jun/2022,Journal,"Reassess your goals for the coming season. What is holding you back? How can we work on these weaknesses in these next 10-12 weeks?List your top 3 climbing goals, and something you'll need to improve on to achieve each one.","Top 3 Climbing Goals:- 10 V11s in 2022,- No More Greener Grasses,- Ain't No Heaven For a ThugWeaknesses:1. Intentionality in projecting. Over the past year I've struggled with consistently focusing on a project. Instead I've been susceptible to going wherever my friends want to climb. 2. Technical climbing and beta reading. I have a tendency to rely on receiving beta from friends since my natural inclination is to thug through climbs as much as possible. Improving my ability to read beta and implement highly technical sequences would definitely help me reach my goals. One specific example of this deficit is that I have hard time on vertical climbs that involve high feet or balancing/perching on my feet. I think this is because I have poor hip mobility and weak legs, especially my right leg.3. Understanding my relative physical strengths and weaknesses. I think that, before this program, I clearly knew that I had a relatively strong back and relatively weak fingers and endurance. Now that we've addressed those weaknesses, it would be helpful to me to have clearer metrics goals so that I can better evaluate how to focus my climbing and training sessions to work weaknesses."
26/Jun/2022,"Rest, Project, or Workout repeat",,Used this to finish board work day
25/Jun/2022,Limit Bouldering,Outdoor preferred. Try 1 to 2 problems at your limit.Send me videos via messages,"Did Outside Logs, V10 (3rd try) and Wake of the Flood, V9. Tried stand start to Logarithm as well, it feels very close. I'm waiting for cooler temps to try the sits to both outside and logarithm."
25/Jun/2022,20mm OTGs,RPE 8Pick up and hold for a 5-countSwitch hands and repeatrest 1 minute2 sets,At home so only had 100lbs
25/Jun/2022,10mm OTGs,RPE 8Pick up and hold for a 5-countSwitch hands and repeatrest 1 minute2 sets,Only had 100 so did 7 count
25/Jun/2022,3-finger drag OTGs,RPE 8Pick up and hold for a 5-countSwitch hands and repeatrest 1 minute2 sets,Only had 100
25/Jun/2022,Wide Pinch OTGs,RPE 8Pick up and hold for a 5-countSwitch hands and repeatrest 1 minute2 sets,50
23/Jun/2022,Pauses,"Choose 5 easy-ish boulders. As you're reaching for the next hold, hover your hand over it and pause for a 2 count.Rest 2 minutes betwen each boulder.",5xV3
23/Jun/2022,Board Focus: Lock Off,"As you climb, focus on your deep lock-offs. Choose problems that require long, but attainable moves that don't force you to cut feet.",5xV8 (flashes) + 3xV10 (attempts)
23/Jun/2022,Velocity Pull Ups,"Pull up as fast as you can, then lower down slowly.10 repsrest 2 minutes3 sets",
23/Jun/2022,Offset Pull Ups,"Find a spot on the wall with a nice jug. Using that for your right hand and a smaller hold at waist height for your left, do 3 pull-ups.Switch hands and repeatRest 1 minute3 sets",
22/Jun/2022,Overhead Squat,Light weight (get to depth).5 repssuperset with dumbbell flys3 sets,"Tried 50lb barbell, couldn't quite do it. Mobility is slightly improved "
22/Jun/2022,Dumbbell Fly,Light weight10 repssuperset with OHS3 sets,25/hand
22/Jun/2022,Romanian Deadlift,Light weight5 repssuperset with Overhead Press3 sets,Only had dbs today so 65 / hand
22/Jun/2022,Overhead Press,Light weight10 repssuperset with RDLs3 sets,35 / hand
22/Jun/2022,Power Clean,Light weight (form focus)5 repssuperset with Deadlift3 sets,60
22/Jun/2022,Deadlift,Light weight10 repssuperset with PC3 sets,60
22/Jun/2022,Repeaters,"Half pad, half crimpweight added to RPE 7Hang 5Rest 1010 repsrest 2 minutes3 sets","10mm0, 5, 5"
22/Jun/2022,Movement,"As you session today, focus on being aggressive in your movements. What does being ""aggressive"" mean to you when it comes to climbing? Who are some good examples of aggressive climbers?",
21/Jun/2022,Board Climbing,Work 1 or 2 projects for 45 minutes total,
21/Jun/2022,Heavy Hangs,"20mmRPE 105 seconds on, 10 seconds off10 repsrest 2 minutes3 sets",
21/Jun/2022,Homework,Double check all your gear. Are your climbing shoes in good shape? Plenty of chalk? Skin-care bag stocked with tape/rubbing alcohol/files? Make sure your gear is tip-top!,
19/Jun/2022,"Rest, Project, or Workout repeat",,Rest
18/Jun/2022,Limit Bouldering,Outdoor preferred. Try 1 to 2 problems at your limit.Send me videos via messages,Tried vid cred to eshan and Biceptual at 50 on Kilterboard. Both feel very possible with cooler temps 
18/Jun/2022,20mm OTGs,RPE 8Pick up and hold for a 5-countSwitch hands and repeatrest 1 minute2 sets,"150, 160"
18/Jun/2022,10mm OTGs,RPE 8Pick up and hold for a 5-countSwitch hands and repeatrest 1 minute2 sets,"115, 125Failed on 2nd set left hand after 3s"
18/Jun/2022,3-finger drag OTGs,RPE 8Pick up and hold for a 5-countSwitch hands and repeatrest 1 minute2 sets,"115, 125"
18/Jun/2022,Wide Pinch OTGs,RPE 8Pick up and hold for a 5-countSwitch hands and repeatrest 1 minute2 sets,"50, 55"
16/Jun/2022,Push-Up Frenchies,-Hold the top of a push-up position for 5 seconds-Lower to arms at 90 degrees and hold for 5 seconds-lower to chest right above the ground and hold for 5 seconds-push to 90 degrees and hold for 5 seconds-push to straight-arms and hold for 5 secondsRest 30 seconds3 sets,
16/Jun/2022,Narrow Grip Bench Press,Light weight (RPE 6)Grip the bar just inside of shoulder width5 repssuperset with WGBP,125
16/Jun/2022,Wide Grip Bench Press,"Same weight as NGBPGrip the bar just outside of shoulder width5 repsRest 1 minute, then return to NGBP3 sets",125
16/Jun/2022,Overhead Press,RPE 810 repssuperset with dips,30/hand
16/Jun/2022,Dips,"On rings (best) or bench:10 repsrest 1 minute, then return to OHP3 sets","Ring dips, failed on rep 6 of last set"
16/Jun/2022,Micro Hangs,8mm edgesbodyweight5 sec on / 10 sec off10 repsrest 2 minutes2 sets,
16/Jun/2022,Homework,"Get some extra recovery before the rest day tomorrow. Drink plenty of water, make a home cooked meal, turn off the screens an hour or two before bed, and go to bed a bit early.",
15/Jun/2022,Frenchies,On a bar or jug:-hang with straight arms for 5 seconds-hang at 90 degrees for 5 seconds-hang at full lockoff for 5 seconds-lower to 90 degrees for 5 seconds-lower to straight arms for 5 secondsRest 30 seconds3 sets,
15/Jun/2022,Wide Grip Pull-Ups,5 RepsWeight added to RPE 8superset with NGPUs,"65, 50, 50Failed on 4th rep of 3rd set"
15/Jun/2022,Narrow Grip Pull-Ups,"5 repsWeight added to RPE 8Rest 1 minute, then return to WGPUs.3 sets total","65, 50, 35Failed on last rep of 2nd and 3rd setsBicep fatigue stopped me"
15/Jun/2022,Dumbbell Row,RPE 810 reps/armsuperset with dumbbell bicep curl,35 Do 45 next time 
15/Jun/2022,Dumbbell Bicep Curl,"RPE 810 reps/armRest 1 minute, then return to dumbbell row.3 sets total",25/arm
15/Jun/2022,Repeaters,"Half pad, half crimpweight added to RPE 7Hang 5Rest 1010 repsrest 2 minutes3 sets",
15/Jun/2022,Movement,"As you climb today, focus on your strengths. Climb problems that make you feel strong!","I failed on this, I felt extremely weak today 😅"
14/Jun/2022,Board Climbing,"On a board, find or set 2 boulder problems:1. Good holds with hard/awkward moves.2. Bad holds with straightforward moves.These should be limit boulders. Stay focused on these 2 boulders for your whole session.",
12/Jun/2022,"Rest, Project, or Workout repeat",,"Climbed at Lincoln Lake. Got stuck under King Critter due to almost constant rain, hail, sleet, and snow. Did all the moves but altitude was getting to me bad"
11/Jun/2022,Limit Bouldering,Outdoor preferred. Try 1 to 2 problems at your limit.Send me videos via messages,
11/Jun/2022,20mm OTGs,RPE 8Pick up and hold for a 5-countSwitch hands and repeatrest 1 minute2 sets,"140, 140, 155Did the 3rd set just to see if I could manage 5s at bodyweight. 😅"
11/Jun/2022,10mm OTGs,RPE 8Pick up and hold for a 5-countSwitch hands and repeatrest 1 minute2 sets,"105, 115"
11/Jun/2022,3-finger drag OTGs,RPE 8Pick up and hold for a 5-countSwitch hands and repeatrest 1 minute2 sets,"120, 130"
11/Jun/2022,Wide Pinch OTGs,RPE 8Pick up and hold for a 5-countSwitch hands and repeatrest 1 minute2 sets,"50, 50"
9/Jun/2022,Projecting,3-4 boulders15-20 minutes on each. Be detail oriented!,"Turns out I'm significantly worse at climbing low angle lines. The main issue seems to be keeping high feet on.With Kilter Board at 30°:Dong - V9, (Couldn't Do)Misguided Son - V9, (5 tries)Schlaap - V9, (Flash, my style)No Foot Revolution - V9, (Couldn't do)"
9/Jun/2022,Velocity Pull Ups,"Pull up as fast as you can, then lower down slowly.10 repsrest 2 minutes3 sets",Did 5/10 on 20mm for fun. Feel much slower by last rep
9/Jun/2022,Right Down Left Down,"With your hands slightly wider than shoulder width apart, pull up at a diagonal and touch your chin to your right hand. Lower slowly.Repeat immediately but pull up to your left hand.5 reps per hand (10 total)Rest 2 minutes3 sets",
7/Jun/2022,Overhead Squat,Light weight (get to depth).5 repssuperset with dumbbell flys3 sets,"Pvc pipe. Still hard to get form, but improving."
7/Jun/2022,Dumbbell Fly,Light weight10 repssuperset with OHS3 sets,20 per hand
7/Jun/2022,Romanian Deadlift,Light weight5 repssuperset with Overhead Press3 sets,135
7/Jun/2022,Overhead Press,Light weight10 repssuperset with RDLs3 sets,25 per hand
7/Jun/2022,Power Clean,Light weight (form focus)5 repssuperset with Deadlift3 sets,95
7/Jun/2022,Deadlift,Light weight10 repssuperset with PC3 sets,150
7/Jun/2022,Repeaters,"Half pad, half crimpweight added to RPE 7Hang 5Rest 1010 repsrest 2 minutes3 sets",
7/Jun/2022,Movement,"During your climbing session, try some ""comp style"" movement. How is this different from how you usually climb on your projects? How is it similar? In what ways can practicing this style help us with our outdoor projects?",
5/Jun/2022,Try hard and have fun!,,
4/Jun/2022,Try hard and have fun!,,
3/Jun/2022,Try hard and have fun!,,
2/Jun/2022,Try hard and have fun!,,
1/Jun/2022,Try hard and have fun!,,
31/May/2022,Try hard and have fun!,,
30/May/2022,Try hard and have fun!,,
29/May/2022,Try hard and have fun!,,
28/May/2022,Try hard and have fun!,,
26/May/2022,Volume,Outdoor preferred. Get in lots of good movement. Stay 2 grades or more below your limit.,
26/May/2022,20mm OTGs,RPE 6Pick up and hold for a 15-countSwitch hands and repeatrest 1 minute2 sets,
26/May/2022,10mm OTGs,RPE 6Pick up and hold for a 15-countSwitch hands and repeatrest 1 minute2 sets,
26/May/2022,3-finger drag OTGs,20mm edgeRPE 6Pick up and hold for a 15-countSwitch hands and repeatrest 1 minute2 sets,
26/May/2022,Wide Pinch OTGs,RPE 6Pick up and hold for a 15-countSwitch hands and repeatrest 1 minute2 sets,
24/May/2022,1 Minute Pull-Ups,As many pull-ups as you can do in 1 minute,
24/May/2022,Overhead Press,RPE 88 repsSuperset with 1-minute pull-ups3 sets,
24/May/2022,On the Wall Campusing,Choose 3 sub-max boulders in an overhangCampus the first one 2X in a row with no rest in between.Rest 2 minutesRepeat with other 2 climbs,
24/May/2022,Movement: Closed Crimp vs 3-finger-drag,"Select 5 different crimpy boulders (ideally sub-limit)Climb each one once with all closed-hand crimps, then again with only open-hand crimps.What did you notice? When is it easier to grab crimps open hand? When is it easier to grab crimps closed? Which do you prefer more often?",
22/May/2022,Overhead Press,5 sets5 reps2 minutes rest between setsRPE 8,
22/May/2022,Back Squat,"Focus on form. It doesn't need to be perfect, but stick with a light weight and try to get through a wide range of movement.5 sets5 reps2 minutes rest between setsRPE 4",
22/May/2022,Alternating Dumbbell Snatch,Max in 1 minuterecord resultrest 2 minutesX3 (record result each time to see how steep the dropoff is),
22/May/2022,Repeaters,"Full pad, half crimp-Hang 10-Rest 10-10 reps-rest 2 minutes-3 sets",
22/May/2022,Open Climb,,
20/May/2022,Limit Bouldering,Outdoor preferred. Try 1 to 2 problems at your limit.Send me videos via messages,
20/May/2022,20mm OTGs,RPE 8Pick up and hold for a 5-countSwitch hands and repeatrest 1 minute2 sets,
20/May/2022,10mm OTGs,RPE 8Pick up and hold for a 5-countSwitch hands and repeatrest 1 minute2 sets,
20/May/2022,3-finger drag OTGs,RPE 8Pick up and hold for a 5-countSwitch hands and repeatrest 1 minute2 sets,
20/May/2022,Wide Pinch OTGs,RPE 8Pick up and hold for a 5-countSwitch hands and repeatrest 1 minute2 sets,
18/May/2022,Up Down Ups,"Choose a difficult problem you can barely flash. Climb it to the top, then climb back down using any holds, then try to repeat it.",
18/May/2022,Board Focus: Launch and Grab,"Choose or set a problem that requires you to cut feet on each move. Really focus on contact speed and precision. 3-4 different problems, 30-40 minutes of work.",
18/May/2022,Velocity Pull Ups,"Pull up as fast as you can, then lower down slowly.10 repsrest 2 minutes3 sets",
18/May/2022,Offset Pull Ups,"Find a spot on the wall with a nice jug. Using that for your right hand and a smaller hold at waist height for your left, do 3 pull-ups.Switch hands and repeatRest 1 minute3 sets",
17/May/2022,Easy Climbing,45-60 minutes of easy climbing. Focus on movement.,
16/May/2022,Rest,,
15/May/2022,Repeaters,Bodyweight20mm10 on / 10 off10 reps2 min rest3 sets,
15/May/2022,Easy Climbing,45-60 minutes. Focus on movement.,
14/May/2022,Rest,,
13/May/2022,Easy Climbing,45-60 minutes of easy climbing. Focus on movement.,
11/May/2022,Weighted Pull-Ups,RPE 85 repsrest 2 minutes3 sets,"90, failed on last rep of last set"
11/May/2022,Overhead Press,RPE 810 repsrest 2 minutes3 sets,45Failed on rep 9 of last set
11/May/2022,Ring Dips,Bodyweight10 repsrest 1 minute3 sets,"Did bar dips cause I can't read. Bodyweight is way too easy on bars, so added weight:Set 1: +26Set 2: +44Set 3: +62"
11/May/2022,Ring Row,Single armbodyweight (feet as far forward as you can)Pull and reach as high as you can10 reps per armrest 1 minute3 sets,
11/May/2022,Sumo Squat,Feet slightly wider than shoulder widthholding a dumbbell at your shouldersRPE 610 repsrest 1 minute3 sets,30
11/May/2022,Hamstring Curls,Single legwith heel on bench and back on floorRPE 6 (weight added as needed)10 reps per legrest 1 minute3 sets,
11/May/2022,Repeaters,"Half pad, half crimpweight added to RPE 7Hang 5Rest 1010 repsrest 2 minutes3 sets",Set 1: 15mmSet 2 and 3: 10mm Add 5lbs to 10mm next time.
11/May/2022,Open Climb,,Climbed a bunch of climbs up to V6 for 30 mins
11/May/2022,Homework,What aspects of climbing are most important/valuable for you? What would you like to spend more time doing?,"I love strength training and I love getting outside and trying hard, so the mix so far has been pretty good for me. I think we're working on the main strength metrics that I'd like to improve most (Max weight pullups and small edge hangs). I'd like to improve my one-arm pull-up strength as well as my one-arm hanging. I think that's my biggest strength related weakness. I'd also like to work towards 1-5-9 campusing which I think we're doing at the moment."
10/May/2022,Movement: Accuracy & Glue Hands,"As you climb today, focus on accuracy. Limit unnecessary adjustments as much as possible.",
10/May/2022,Board projecting,"On a training board, project 2-3 problems.","With Kilter @50,Deception - V11 (Flash)Legen-Darry - V11 (6 tries)"
10/May/2022,Assisted 1APU,1-arm pull-ups on jugRPE 10 (weight off as needed)3 reps/armRest 2 minutes between sets3 sets,Can't quite get the last rep with 3 in a row at bw. Did -5 on last set.Tried to repeat 1rm pull-up (only managed +142.5 today) right before this to take LCC pull up record. So maybe a bit extra tired. 
10/May/2022,Campus Board 1-max-max,"Start matched on 1pull as far as you can leading with the RH, then pull through with your LH as far as you can (no matching)Repeat, leading with LHRest 1 minute3 sets",Set 1: 1-5.5-8Set 2:LH: 1-6-8RH: 1-5.5-8 (ALMOST 8.5)Set 3:Both hands failed going to 1-6.LH 1-5.5-7.5RH 1-5.5-8
10/May/2022,Campus Board 1-3-max-max,3 sets/hand,Set 1: 1-3-6.5-9Set 2:LH: 1-3-6.5-9RH: 1-3-6.5-8.5Set 3:LH: 1-3-6.5-9RH: 1-3-6.5-8.5
10/May/2022,Campus Board 1-4-max-max,3 sets/hand,Set 1: 1-4-7-9.5Set 2:LH: 1-4-6.5-8.5 (close on 7 and 9)RH: 1-4-7-9Set 3:
8/May/2022,"Rest, Project, or Workout repeat",,Rest
7/May/2022,Limit Bouldering,Outdoor preferred. Try 1 to 2 problems at your limit.Send me videos via messages,Tried Jeremiah again. Have it in 2 parts but am very inconsistent on the first 2 moves still.
7/May/2022,20mm OTGs,RPE 8Pick up and hold for a 5-countSwitch hands and repeatrest 1 minute2 sets,140
7/May/2022,10mm OTGs,RPE 8Pick up and hold for a 5-countSwitch hands and repeatrest 1 minute2 sets,Set 1: 100Set 2: 110Key to this was ensuring that the cord connecting the tension block to the weights came from the same side as the 10mm crimp. Can do more next time!
7/May/2022,3-finger drag OTGs,RPE 8Pick up and hold for a 5-countSwitch hands and repeatrest 1 minute2 sets,Set 1: 95Set 2: 110
7/May/2022,Wide Pinch OTGs,RPE 8Pick up and hold for a 5-countSwitch hands and repeatrest 1 minute2 sets,Set 1: 45Set 2: 55
5/May/2022,Weighted Pull-Up,Work up to an RPE 103 rep max,+140 @ 155lb bw10.1 effort
5/May/2022,1UP,1-arm pull-upWork up to an RPE 10 (take off as little weight as possible)both hands1 rep max,Set 1: bodyweightSet 2: +10Set 3: +15
5/May/2022,Muscle Up,For time:10 reps,7 in 30s and then I failed.Remaining 3 added 1:30.2 minutes total
5/May/2022,Dumbbell Thruster,RPE 8 weight (30 lb dumbbells in each hand?)For time:21 reps,38s
5/May/2022,Projecting,,
4/May/2022,20mm Max Hang,10-second max weighted hangs (work up to an RPE 10)Record heaviest weight achieved,140 - friction limiting today. LCC is stupid hot
4/May/2022,15mm Max Enduro Hang,Start timerHang as long as possibleJust 1 rep and set today.,59s - LH slipping due to juicy gym conditions. Could maybe get 5 more seconds outta this one 😅
4/May/2022,Pinch OTG (Wide Grip),Max weight,LH: 60RH: 50On tension block outer pinch.
4/May/2022,Pinch OTG (Narrow Grip),Max weight,30 On tension block inner pinch
4/May/2022,Homework,Take 10-15 minutes to write in a training journal. Use it to refocus. what goals are you motivated on in the very near future? Think about your goals and steps you'll need to achieve them for the next 2 weeks. Be specific with dates!,
3/May/2022,Bench Press,Work up to a 5-rep max,5 rep max = 175
3/May/2022,Ring Dip,1-minute AMRAP,No rings today so normal dip bars. 55
3/May/2022,Squat,Work up to a 5-rep max,legs weaker than chest 😂😂😂 165
3/May/2022,Modified Front Lever,For time:Modified front lever (1 leg tucked)rest to full recoverytry again with the other leg tucked,R leg tucked 43sL leg tucked 36s
3/May/2022,Movement,"While climbing today, focus on relaxing. While on the wall, when does relaxing ""pay off""? When tends to be the best time to relax? When should you NOT relax?",
1/May/2022,"Rest, Project, or Workout repeat",,
30/Apr/2022,Limit Bouldering,Outdoor preferred. Try 1 to 2 problems at your limit.Send me videos via messages,"Went to The Scoop again and tried Jeremiah. Was able to redo the top from 3 moves in and repeated the bottom 2 moves in isolation, but couldn't swing the feet over comfortably. I realized when I got home that I'm starting this climb matched on the low undercling which makes the 2nd and 3rd move harder. "
30/Apr/2022,20mm OTGs,RPE 8Pick up and hold for a 5-countSwitch hands and repeatrest 1 minute2 sets,"Did at home so only had 100lbs,Did both for 10s instead to comoensate"
30/Apr/2022,10mm OTGs,RPE 8Pick up and hold for a 5-countSwitch hands and repeatrest 1 minute2 sets,100 on both
30/Apr/2022,3-finger drag OTGs,RPE 8Pick up and hold for a 5-countSwitch hands and repeatrest 1 minute2 sets,100
30/Apr/2022,Wide Pinch OTGs,RPE 8Pick up and hold for a 5-countSwitch hands and repeatrest 1 minute2 sets,50
28/Apr/2022,Pauses,"Choose 5 easy-ish boulders. As you're reaching for the next hold, hover your hand over it and pause for a 2 count.Rest 2 minutes betwen each boulder.",5xV7s on Kilter
28/Apr/2022,Board Focus: Lock Off,"As you climb, focus on your deep lock-offs. Choose problems that require long, but attainable moves that don't force you to cut feet.",
27/Apr/2022,Weighted Pull-Ups,RPE 85 repsrest 2 minutes3 sets,+70
27/Apr/2022,Overhead Press,RPE 810 repsrest 2 minutes3 sets,40
27/Apr/2022,Ring Dips,Bodyweight10 repsrest 1 minute3 sets,
27/Apr/2022,Ring Row,Single armbodyweight (feet as far forward as you can)Pull and reach as high as you can10 reps per armrest 1 minute3 sets,
27/Apr/2022,Sumo Squat,Feet slightly wider than shoulder widthholding a dumbbell at your shouldersRPE 610 repsrest 1 minute3 sets,30. The front of my hips are extremely tight at the bottom of this exercise.
27/Apr/2022,Hamstring Curls,Single legwith heel on bench and back on floorRPE 6 (weight added as needed)10 reps per legrest 1 minute3 sets,
27/Apr/2022,Movement,"As you warm-up for climbing today, do some large moves across your body on big holds. What helps you turn? What are your hips/knees doing when you cross? What are your shoulders doing?",
27/Apr/2022,Repeaters,"Half pad, half crimpBodyweightHang 10Rest 1010 repsrest 2 minutes3 sets",15mm
26/Apr/2022,Up Down Up,-Climb up a flash-limit boulder-Climb down using any holds-Try to climb back up the same boulder-Rest 3 minutes-3 sets,Tried 2 V10s and 1 V8. Did all of them the first try and fell on the 2nd
26/Apr/2022,1X4,"-Pick a limit boulder that you've sent before-Climb it 1 time-rest 1 minute-Try to repeat. 4 reps total.If you can't send it, no worries!",Tried the 2 v11s I've done in the Kilter board and didn't resend either. Got really close on Wagon Lite but hit my elbow on the wall on a critical move. Too tired to repeat after
26/Apr/2022,Movement,"As you cool down from climbing today, focus on the ""moves between the moves"". How fast do you transition your feet? How quickly do you move your hands? How efficiently are you getting set up for the next move?",
26/Apr/2022,Bodyweight Circuit,Burpee - Pushup - SitupsDescending reps from 10 down to 1. IE:10 burpees10 pushups10 situps9 burpees9 pushups9 situpsetc etc etc....,
26/Apr/2022,Open Climb,,Did a few set climbs in the V6-V8 range
24/Apr/2022,"Rest, Project, or Workout repeat",,rest
23/Apr/2022,Limit Bouldering,Outdoor preferred. Try 1 to 2 problems at your limit.Send me videos via messages,Tried to climb The Eiger and The Matterhorn but was too beat from the micro crimp repeaters to do anything. Well that and I got spooked on the top of The Eiger and dropped off twice
23/Apr/2022,20mm OTGs,RPE 8Pick up and hold for a 5-countSwitch hands and repeatrest 1 minute2 sets,"RH 140LH 140, 135"
23/Apr/2022,10mm OTGs,RPE 8Pick up and hold for a 5-countSwitch hands and repeatrest 1 minute2 sets,RH: 95LH: 95 for 2-3 seconds x 2 then 85 for 2nd set
23/Apr/2022,3-finger drag OTGs,RPE 8Pick up and hold for a 5-countSwitch hands and repeatrest 1 minute2 sets,95
23/Apr/2022,Wide Pinch OTGs,RPE 8Pick up and hold for a 5-countSwitch hands and repeatrest 1 minute2 sets,"55, harder on RH"
21/Apr/2022,Projecting,3-4 boulders15-20 minutes on each. Be detail oriented!,
21/Apr/2022,Velocity Pull Ups,"Pull up as fast as you can, then lower down slowly.10 repsrest 2 minutes3 sets",
21/Apr/2022,Right Down Left Down,"With your hands slightly wider than shoulder width apart, pull up at a diagonal and touch your chin to your right hand. Lower slowly.Repeat immediately but pull up to your left hand.5 reps per hand (10 total)Rest 2 minutes3 sets",
20/Apr/2022,Push-Up Frenchies,-Hold the top of a push-up position for 5 seconds-Lower to arms at 90 degrees and hold for 5 seconds-lower to chest right above the ground and hold for 5 seconds-push to 90 degrees and hold for 5 seconds-push to straight-arms and hold for 5 secondsRest 30 seconds3 sets,
20/Apr/2022,Narrow Grip Bench Press,Light weight (RPE 6)Grip the bar just inside of shoulder width5 repssuperset with WGBP,120
20/Apr/2022,Wide Grip Bench Press,"Same weight as NGBPGrip the bar just outside of shoulder width5 repsRest 1 minute, then return to NGBP3 sets",120
20/Apr/2022,Overhead Press,RPE 810 repssuperset with dips,
20/Apr/2022,Dips,"On rings (best) or bench:10 repsrest 1 minute, then return to OHP3 sets",
20/Apr/2022,Micro Hangs,8mm edgesbodyweight5 sec on / 10 sec off10 repsrest 2 minutes2 sets,Did 10mm
20/Apr/2022,Open Climb,,Got shutdown by a bunch of problems set at LCC. 
19/Apr/2022,On the Wall Campusing Volume,5-7 sub-limit gym problems. 2+ minutes of rest between each,
19/Apr/2022,OTW Campusing Projecting,Set a campus climb consisting of 5-7 moves. Project it for 8-10 attempts with full rest betwen attempts.2 sets,
19/Apr/2022,Board Work,"""Flash or trash"". Try 10 problems that are in your max flash range. You are only allowed to try each one a single time.",Tried 10x V10s on Kilterboard at 45°. Didn't flash any of them. Felt tired and tips are wet.
17/Apr/2022,"Rest, Project, or Workout repeat",,Tried V12s on Kilterboard for 30 minutes. Got absolutely shit on. Too tired from yesterday to pull any meaningful moves.
16/Apr/2022,Limit Bouldering,Outdoor preferred. Try 1 to 2 problems at your limit.Send me videos via messages,Worked Ain't No Heaven For a Thug at Wild Basin. I could not quite catch the right hand crimp before the slot jump move. Right before I left I found better beta that I believe will work if I go back fresh. No videos this time.
16/Apr/2022,20mm OTGs,RPE 8Pick up and hold for a 5-countSwitch hands and repeatrest 1 minute2 sets,135 RH (including 5lbs from lifting pin) 130 LH. Left pinky kind of hurts today
16/Apr/2022,10mm OTGs,RPE 8Pick up and hold for a 5-countSwitch hands and repeatrest 1 minute2 sets,"Finally got a tension block. Feels like I could do more weight, but started dry firing at +95lbs.Set 1: 75Set 2: 85"
16/Apr/2022,3-finger drag OTGs,RPE 8Pick up and hold for a 5-countSwitch hands and repeatrest 1 minute2 sets,20mm 100
16/Apr/2022,Wide Pinch OTGs,RPE 8Pick up and hold for a 5-countSwitch hands and repeatrest 1 minute2 sets,Set 1: 50Set 2: 55
14/Apr/2022,Board Volume,"Choose a grade range 2-3 grades below your flash limit. For 45 minutes, give each boulder 3 tries or less. Rest 1 minute or less between each boulder.",
14/Apr/2022,Board Focus: Weight transfer to toes,"As you climb, focus on transfering weight over to your toes. How much weight can you take off your hands by digging in and pulling hard with your feet?",
14/Apr/2022,Velocity Pull Ups,"Pull up as fast as you can, then lower down slowly.10 repsrest 2 minutes3 sets",
14/Apr/2022,Offset Pull Ups,"Find a spot on the wall with a nice jug. Using that for your right hand and a smaller hold at waist height for your left, do 3 pull-ups.Switch hands and repeatRest 1 minute3 sets",
13/Apr/2022,Hanging Leg Lift,-hanging from a bar.-10 reps-move on to V-ups immediately,
13/Apr/2022,V-Ups,-see video-15 reps-rest 1 minute-move back to hanging leg lift-3 complete sets,
13/Apr/2022,dumbbell deadlifts,-With medium size dumbbells-15 reps-move to overhead squat,40 per hand
13/Apr/2022,Overhead Squat,-with light dumbbells-10 reps-rest 1 minute-move back to dumbbell deadlifts-3 complete sets,"10 lbs per hand, feels closer to possible"
13/Apr/2022,hanging knees-to-chest,"-hanging from a bar, bring your knees all the way up to your chest, then lower your legs slowly back down-10 repsmove to bicycles",
13/Apr/2022,bicycles,-see video-10 reps per side (20 total)-rest 1 minutemove back to hanging knees to chest-3 complete sets,
13/Apr/2022,Movement,"As you climb today, focus on being aggressive. Is there anything holding you back from really attacking each problem? When is it best to climb aggressively? And does it ever pay off to be hesitant/conservative with your movement?",
12/Apr/2022,Board Projecting,45-60 minute working session,"First Kilter V12! Wagon Lite at 50°.Did all the moves on The Sauce again, but fell in the same place as last time on send burns. Will try this one first on next board project day."
